Sample_ID,Temp_avg,Humidity_avg,CO2_ppm,Light_Hours,Nutrient_EC,Yield_kg_sqm
1,22.49448142616835,55.91272720752576,854.9579175574136,13.739008389796881,2.0109062498719377,41.23969751655373
2,29.408571676918996,59.75066186611855,414.7521498752809,12.425050156754041,1.6075678332714765,32.21668378855945
3,26.78392730173686,56.19536694968614,413.27413091739834,10.119508451012384,2.114443342342848,33.299084592103036
4,25.18390181036444,53.10458868149695,594.1661314897248,9.779213487725931,1.9668262425950904,29.067388009422697
5,19.872223685309237,54.22225548852103,693.1859142427995,10.098219378475097,2.515680959602514,33.5253068330957
6,19.87193424403443,66.1272568811454,862.2444506846759,12.647921187087091,2.4086688741790354,41.22291187523456
7,18.697003346018395,57.221680144202736,809.977225963903,11.968223666422485,2.04689059229631,33.16506218798042
8,28.394113749299223,62.74944513668264,667.541623826049,9.111173407204808,1.826838831382485,34.20767184856615
9,25.213380140918506,67.61960447991999,564.1759997689995,9.044656012004506,2.9820539492333875,36.80680577785611
10,26.496870933552547,74.1638190020278,998.2747000946267,8.590373898280383,2.1810024317941723,36.337367579055595
11,18.24701393154963,51.37592489443846,655.7087813415837,11.96181631820803,2.532411353670356,24.89813519416679
12,29.638918225943932,77.97936396181649,670.8322145978052,12.586235973330416,1.710829451367541,24.1596640979918
13,27.98931168960506,71.97651363218176,498.1742927150015,9.590278569950025,2.2283845494890966,30.287558974706126
14,20.548069328139313,52.86156611821052,876.8857292499576,8.125669766185476,1.5413050798041983,30.100239957766714
15,20.181899606485207,80.5752518437372,816.2093354688932,8.493030004858564,2.258182676865675,23.829961666965332
16,20.200854118241207,82.23053401861347,532.4617676732562,13.807160209070183,2.9460261106765535,28.620528156608586
17,21.650906915514454,52.13772859492023,449.42862736950565,9.772668664864522,2.0763100694787004,27.402354847640222
18,24.297077179586854,59.69071768515213,808.2995812448278,12.615338887028802,1.5584940188623673,37.72832485398697
19,23.18334022370539,78.21704479275715,792.7067285686811,11.747981413125583,1.5464336863790153,30.238234365656066
20,21.494749682376504,76.18908916342804,563.9557161989255,10.291637837917374,2.0819801399203044,33.31774591738055
21,25.34223473666855,56.458235677473205,970.5181373502462,9.234123573173331,1.740037404694791,36.182696854746425
22,19.673926327824503,57.32722631678486,490.6347350685401,8.728318508956438,1.5350281444922789,28.10914847199397
23,21.50573578242262,62.96652359769837,659.4008806255612,11.6900778082332,2.634320420925265,41.17108335215345
24,22.3963421195243,66.95830448168574,966.1695521005594,12.647802683826729,2.187784513322836,44.62842267813505
25,23.47283981060443,71.63891700356035,651.8363901556734,11.863425521246784,1.9338671579589817,40.14319968705379
26,27.422111536716162,62.911977384942034,783.1155685984513,11.18181279949495,2.850124774524721,43.06645545348941
27,20.396085385900317,66.18871506466017,638.5566387776765,8.251707340589817,1.6742084403007884,33.51256556442884
28,24.17081326096334,76.16148283468148,564.529121409202,13.810932665566302,2.9338782434329786,36.05692606227402
29,25.108974826344507,51.28391210117093,990.3865887758969,12.792285149927448,1.9709500760660292,34.0908083981086
30,18.557404952639974,58.835293052040726,645.6004037890258,9.756932220205789,2.832605508463022,33.593428001908855
